dataMatrix	Blc-EI_Neg_1	Blc-extract-EI_Neg_1	QC-interbatch_Neg_1	QC-Dil8_Neg_1	QC-Dil4_Neg_1	QC-Dil2_Neg_1	QC-Dil1_Neg_1	QC-Dil8_Neg_2	QC-Dil4_Neg_2	QC-Dil2_Neg_2	QC-Dil1_Neg_2	QC-Dil8_Neg_3	QC-Dil4_Neg_3	QC-Dil2_Neg_3	QC-Dil1_Neg_3	QC-interbatch_Neg_2	Blc-EI_Neg_2	Blc-extract-EI_Neg_2	QC-Dil1_Neg_4	Db44_Neg	Db4_Neg	Db46_Neg	Db18_Neg	Db58_Neg	Te1_Neg	Db47_Neg	Db23_Neg	Db13_Neg	Db55_Neg	QC-Dil1_Neg_5	Blc-EI_Neg_3	Db76_Neg	Db51_Neg	Db9_Neg	Db59_Neg	Db52_Neg	Db26_Neg	Db22_Neg	Db37_Neg	Db62_Neg	Db5_Neg	QC-Dil1_Neg_6	Blc-EI_Neg_4	Db38_Neg	Db40_Neg	Db56_Neg	Db27_Neg	Db28_Neg	Db63_Neg	Db32_Neg	Db15_Neg	Db74_Neg	QC-interbatch_Neg_3	QC-Dil1_Neg_7	Blc-extract-EI_Neg_3	Blc-EI_Neg_5	Db64_Neg	Db57_Neg	Te4_Neg	Db21_Neg	Db73_Neg	Db54_Neg	Db42_Neg	Db41_Neg	Db31_Neg	QC-Dil1_Neg_8	Blc-EI_Neg_6	Db24_Neg	Te3_Neg	Db77_Neg	Db17_Neg	Db11_Neg	Db53_Neg	Db61_Neg	Db43_Neg	Db8_Neg	QC-Dil1_Neg_9	Blc-EI_Neg_7	QC-interbatch_Neg_4	Db35_Neg	Db1_Neg	Db67_Neg	Db68_Neg	Db70_Neg	Db14_Neg	Db39_Neg	Db48_Neg	Db69_Neg	QC-Dil1_Neg_10	Blc-EI_Neg_8	Db22Bis_Neg	Db36_Neg	Db29_Neg	Db33_Neg	Db49_Neg	QC-Dil1Bis_Neg_10	Blc-EIBis_Neg_8	Db22Ter_Neg	Db36Bis_Neg	Db29Bis_Neg	Db33Bis_Neg	Db49Bis_Neg	Db3_Neg	Db72_Neg	Db12_Neg	Db25_Neg	QC-Dil1_Neg_11	Blc-EI_Neg_9	Te2_Neg	Db71_Neg	QC-Dil1Bis_Neg_11	Blc-EIBis_Neg_9	Te2Bis_Neg	Db71Bis_Neg	Db75_Neg	Db16_Neg	Db6_Neg	Db65_Neg	Db20_Neg	Db45_Neg	Db10_Neg	QC-Dil1_Neg_12	Blc-EI_Neg_10	Db7_Neg	Db60_Neg	Db66_Neg	Db19_Neg	Db78_Neg	Db50_Neg	Db30_Neg	Db34_Neg	Db2_Neg	QC-interbatch_Neg_5	QC-Dil1_Neg_13	Blc-extract-EI_Neg_4	Blc-EI_Neg_11
met_001	NA	NA	26907524.8	5376232.4	9720285.7	16878372.6	40999426	5353656.1	8707408.3	15334168	43377852.4	4896141.1	8353531.1	14751588.6	45041151	42440854.1	NA	NA	46036586.9	84696163.7	45570748.3	75725108.7	50957771.5	47268176.2	33431897.1	67396553.7	55483676.8	73430851.3	62041931.3	45509407.9	NA	91728057.1	69481745.4	63545844.9	81325855.6	88282773.4	39053788.5	75296594.9	55095942.7	63316010	57613872.7	41018952.1	NA	35775197.3	57442541.8	85171315.6	68032384.5	69353496.9	51038829.9	51693286.8	56370762.5	51450992.4	43926495.2	40363610.9	NA	NA	56156675.2	30587908.6	49663099.2	70351923.2	67681181.8	82952239.1	66339106.9	63158607.3	54828038	38826217.4	NA	52950724.3	36671153.2	51652495.9	42971544.5	48534961.8	44234201.9	70065277.1	61140413	68631964.3	34172745	NA	38323376.5	92325854.6	73943227.3	71126280.1	56948506.6	80334147	79929037.6	64395477	51339260.9	70879664.5	31837047.9	NA	52347250.7	57623851.9	39772945.1	33523748.4	74760673.1	40245722.2	NA	65459968	69892432.9	50961684.9	43641017.8	97146617	71007573.2	73582424.6	65956700.1	89264886.7	37835530.4	NA	37471530.7	72442666.7	39065851.8	NA	41792088.4	75055025.9	89326270.4	56037794.5	56619227.2	76350194.2	94072508.4	95209622.8	72572214	38982942.7	30363.5	86928261.7	51472034.7	60938765.4	101343196.9	68555184.3	109148928.7	74315222.2	57641542.8	68384366.4	45799177.7	36427859.8	NA	NA
met_002	NA	NA	1.87	1.87	1.86	1.84	1.86	1.89	1.86	1.87	1.86	1.85	1.89	1.86	1.85	1.87	NA	NA	1.87	1.89	1.87	1.87	1.87	1.88	1.88	1.86	1.87	1.89	1.86	1.89	NA	1.89	1.86	1.89	1.89	1.86	1.82	1.85	1.86	1.87	1.88	1.88	NA	1.87	1.88	1.87	1.86	1.86	1.88	1.84	1.85	1.85	1.87	1.87	NA	NA	1.85	1.85	1.84	1.86	1.85	1.87	1.84	1.85	1.84	1.85	NA	1.87	1.86	1.85	1.85	1.84	1.87	1.85	1.87	1.87	1.84	NA	1.88	1.86	1.88	1.86	1.84	1.85	1.86	1.84	1.86	1.91	1.89	NA	1.85	1.89	1.9	1.89	1.87	1.88	NA	1.85	1.87	1.88	1.85	1.89	1.88	1.88	1.9	1.86	1.86	NA	1.86	1.88	1.86	NA	1.87	1.86	1.88	1.87	1.88	1.89	1.88	1.86	1.87	1.87	1.81	1.97	1.87	1.87	1.95	1.95	1.96	1.99	1.86	1.96	1.87	1.86	NA	NA
met_003	NA	NA	86292824.8	16366041.3	29097565.7	50006212.4	109614872.4	16830264.5	27589452.2	47785824.4	110833640.8	16923437.6	25551957	46608701	111958060.7	108864393.6	NA	NA	112554818.8	143962290.2	73363583.2	140725031.5	115313028.8	85430490.3	74884176.1	159557106.5	97133320.4	131234927.1	99652411.7	105060255.5	NA	166792368.3	130021267.2	121804821.8	161992621.9	181627053.6	98290618.5	110541719.1	121616847.6	101537496.4	92963623.2	90130818.4	NA	66866624.7	97109948.3	184914121.1	99089626.3	144372218.2	100055292	67801829	106477622.5	65209938.3	93063423.3	91965955	NA	NA	114628499.2	NA	98063799.4	127725609.9	126085993.3	172858412.4	137359474.1	153830561.5	95553745.8	89723835.6	NA	75984490.6	81054467.3	123133515.9	75664985.7	94377368.4	102169186.8	110221433.4	111354107.8	146905293.9	79484398.7	NA	88649752.2	162265545.2	148191563.1	107455213.8	74842736.9	134825281.6	154647470.3	126784898.9	90374169	139441155.6	75807526.7	NA	75503194.3	93411849.5	67529340	78737652.9	166306414.2	98068786.3	NA	95197076.3	115428711.1	84049070.5	107543537.3	221399566.2	132136764	134895624.6	124979219.3	171991603.3	94502800	NA	105146802.6	120380931.6	101273838.5	NA	119966947.9	135469403.1	196797732.9	84557920.3	129988444.5	147248237.7	188122599.5	192435435.3	138016674.1	101646598.1	NA	183962065.2	97533342	95002795.4	185580999.3	154879531.7	222340600.3	140731357.7	119290181.9	126752953.5	108090270.9	94936964.5	NA	48424.9
met_004	NA	NA	1.84	1.87	1.86	1.84	1.85	1.9	1.83	1.82	1.82	1.85	1.84	1.86	1.84	1.84	NA	NA	1.85	1.78	1.86	1.79	1.82	1.81	1.85	1.86	1.79	1.85	1.78	1.84	NA	1.84	1.78	1.82	1.83	1.86	1.82	1.78	1.86	1.79	1.81	1.83	NA	1.79	1.82	1.78	1.78	1.82	1.82	1.84	1.84	1.82	1.8	1.8	NA	NA	1.77	NA	1.82	1.82	1.83	1.83	1.84	1.84	1.84	1.82	NA	1.82	1.82	1.84	1.82	1.84	1.86	1.82	1.76	1.84	1.84	NA	1.85	1.77	1.77	1.85	1.83	1.84	1.84	1.82	1.83	1.82	1.83	NA	1.81	1.83	1.77	1.83	1.82	1.87	NA	1.8	1.86	1.85	1.84	1.86	1.83	1.82	1.82	1.83	1.83	NA	1.85	1.81	1.86	NA	1.87	1.9	1.88	1.85	1.88	1.91	1.9	1.86	1.88	1.87	NA	1.96	1.91	1.87	1.91	1.94	1.93	1.91	1.86	1.91	1.93	1.86	NA	1.77
met_005	NA	NA	359741.5	14056.2	23940.1	47118.4	104511.8	10429.6	22118.2	47244.4	111959.5	12766.3	27701.5	54071.8	116669.9	424251.2	367.5	NA	134564.4	22578	32207.1	82027	83370.9	47430.5	113924.6	153740.9	168657.2	56560.9	90042.6	149262.1	987.1	153873.8	156889.5	145244	19442.4	147394.5	154369.3	50315.1	408743.4	30803.2	114456.6	162773.5	1391.2	104636.2	113786.5	159006.9	125594.6	182027.7	72633.6	81783	101516.8	49319.3	465456.1	168320.2	570.1	724.5	104883.3	138866	89602.4	50751.1	92593.2	93453.7	193662.5	85321.2	235725.7	181721.3	335.3	233706.4	335562.9	318584.2	123969.7	165833	125951.3	162527.7	111845.7	252318	179069.5	1468.4	479988.2	155924.9	116914.2	151427.6	246360.4	339410.5	152345	109541.7	298058.4	180553.3	190365.7	277.5	69044.7	156762.2	162054.7	642972.3	172620.4	229322.3	1032.1	81245.9	198731.7	215063.5	870782.2	261080.1	151261.4	94844.2	192852.5	155887.5	243451.5	447.1	764197.8	213099.4	117321.6	1562.7	566758.2	155069.3	241419.4	80368.7	145744.9	317336.2	153661.4	204857.1	212681.5	151149.7	NA	264521.8	121944.1	134060.8	259507.9	265720.4	208724.7	376854.2	138777.8	285032.1	974117.2	111094.5	1743.7	302.9
met_006	NA	NA	1.85	1.9	1.91	1.89	1.85	1.88	1.87	1.9	1.85	1.88	1.89	1.83	1.85	1.86	1.93	NA	1.82	1.83	1.91	1.86	1.87	1.86	1.86	1.85	1.83	1.88	1.84	1.85	1.93	1.82	1.86	1.87	1.89	1.84	1.82	1.84	1.82	1.88	1.86	1.89	2.08	1.88	1.86	1.85	1.82	1.85	1.89	1.84	1.84	1.85	1.86	1.87	1.84	1.83	1.86	1.89	1.83	1.84	1.85	1.85	1.84	1.84	1.83	1.89	2.11	1.82	1.82	1.83	1.91	1.84	1.89	1.83	1.85	1.88	1.84	2.07	1.83	1.85	1.89	1.84	1.82	1.85	1.86	1.84	1.83	1.9	1.92	1.95	1.82	1.83	1.86	1.83	1.83	1.88	2.19	1.83	1.86	1.88	1.84	1.88	1.84	1.85	1.84	1.84	1.85	2.23	1.86	1.86	1.83	1.82	2.02	2	2.02	1.83	1.82	2	1.99	1.86	1.89	1.81	NA	1.97	1.91	1.98	1.96	1.95	1.93	2.01	2	1.96	1.99	1.84	2.14	1.96
met_007	2056.3	10334.3	823458.5	66458.9	124705.1	192553.3	426489.1	74467.6	115761.3	183320.9	375715.4	65340.9	111539.8	194023	376260.1	773395.6	2059.4	4572.1	370410.5	62961.7	146636.7	61850.5	46253.6	55310.6	267103.1	104483.7	130497.1	38604.1	65695.2	342015.7	773	113975.5	45826.4	110430.4	243736.8	60387.1	60486.7	78165.5	51894.1	121160.5	41997.8	344442	2530.1	46908	113538.9	73119.1	36661.6	71305.7	80108.2	51300.8	49925	219826.4	677653	317778.1	2541.4	863.2	101332.9	134608.6	171972.2	121125.3	97027.3	66363.9	33602.8	32928.2	29988.1	315329.5	759.3	46175.1	110836.4	51273	331795.8	22351.4	288566.2	47320.7	9315272.8	67281.3	279991	699.7	587245.7	86266	26132.4	9805077.8	229041.3	60207.8	95342.4	32927.3	58067.6	111479.6	268464.5	360.7	54461.6	60008.7	123914.1	72598.4	35320.5	369480.9	3813.4	93098.6	81010.6	203142.2	100866	91064.3	330905	2080899.2	104931.4	98711.1	351578.6	3032.8	140342	77370.9	400050.7	5357.9	72553.7	137661.8	146656.9	29674.7	27343.1	36990.5	235930	125201.6	33328.6	410151.8	3029.5	43600.3	40924.3	84971.8	119792.3	198066.6	174299.9	117666.2	69267	148758.5	1066000.6	387415.2	5698.4	767.6
met_008	1.84	1.91	1.94	1.93	1.96	1.97	1.95	1.93	1.97	1.93	1.94	1.96	1.97	1.95	1.96	1.95	2.1	1.95	1.95	1.98	1.94	1.9	1.93	1.92	1.93	1.93	1.93	1.94	1.92	1.93	1.88	1.89	1.9	1.9	1.95	1.93	1.92	1.88	1.89	1.9	1.95	1.94	1.9	1.98	1.94	1.91	1.94	1.89	1.89	1.92	1.94	1.98	1.94	1.94	2.05	2.03	1.95	1.92	1.93	1.95	1.92	1.94	1.92	1.92	2.01	1.95	2.01	1.87	1.96	1.94	1.95	1.86	1.96	1.91	1.97	1.89	1.99	1.89	1.88	1.87	2	1.94	1.95	1.98	1.9	1.94	1.98	1.95	2	2.05	1.97	1.95	1.95	1.96	1.94	1.95	1.94	1.96	1.97	1.96	1.9	1.89	1.92	1.92	1.95	1.94	1.94	1.9	1.95	1.9	1.86	1.84	1.88	1.87	1.87	1.87	1.89	1.87	1.87	1.86	1.89	1.86	1.83	1.88	1.85	1.86	1.89	1.87	1.87	1.99	1.98	1.96	1.86	1.86	2.07	2.03
met_009	162396.9	182290.4	2056497.7	412455.2	581727.7	898214.8	1604969.2	437101	591113.7	909074	1588637.4	439232.1	592213.4	843941.1	1551099.4	2243765.4	179738.8	219850.8	1572514	1813914.2	1262474.5	1299858.6	1217102.5	964493.7	1730910.5	1883112.3	1009284.9	1311342.1	1601826.6	1582885.9	222087.9	1306599.7	1194221.2	1891136.3	1710396	1683251.7	1503923.2	1054834	1520897.3	1572801	1619336.9	1458848.5	202547	1105701.2	1535382.2	1553574	1594012.7	1844794.6	1495650.2	1610226.3	1801409.6	1618010.6	2103471.2	1433564.5	208401.1	202344.6	979868.3	789709.1	2641329.7	1177203.3	1703261	1502212	1389144.6	1446877.3	1479737.1	1450946	207538.3	1792485.3	1410945.5	1956375.7	1286121.8	2335414.6	1706239.1	1142170.3	1103043.3	1876182.6	1348936.6	190739.8	1971874	1575544.1	1080519.3	2037019.1	1392247.8	1436210.9	1532447.5	1132524.1	1448094.1	1244831	1374028.6	194596.6	1010217.1	1534996.9	1364865.3	1090520.6	1346120.1	1688541.6	316919	1434218.2	2033214	1946135.4	1695641.1	2003145.3	2339798.3	1922982.1	2221263.7	3185161.9	1814643.1	327850.8	1962690.6	1815901.6	1907965.7	388983	2292120.4	2250701.3	3261497.1	1977262.2	3401810.9	2715267.1	3257054.5	1930360.1	2258305.8	2124882.8	400360.1	1864505.9	2644287.3	2939779.1	2764851.8	2102563.4	3250232.1	3187771.9	1980742.3	2377176.5	3948223.9	2057718.4	379758.8	420175.6
met_010	1.84	1.84	1.88	1.87	1.86	1.9	1.86	1.88	1.87	1.91	1.86	1.88	1.87	1.87	1.87	1.88	1.9	1.84	1.87	1.89	1.91	1.87	1.91	1.89	1.89	1.89	1.88	1.92	1.89	1.89	1.86	1.9	1.87	1.88	1.9	1.88	1.88	1.87	1.87	1.87	1.89	1.92	1.83	1.88	1.91	1.91	1.89	1.86	1.91	1.87	1.9	1.87	1.87	1.88	1.84	1.85	1.88	1.85	1.86	1.88	1.89	1.87	1.87	1.86	1.86	1.86	1.89	1.87	1.9	1.91	1.92	1.88	1.89	1.89	1.9	1.9	1.88	1.88	1.88	1.88	1.89	1.91	1.89	1.86	1.87	1.88	1.92	1.89	1.89	1.91	1.88	1.91	1.91	1.89	1.87	1.89	1.85	1.89	1.88	1.88	1.86	1.89	1.92	1.88	1.89	1.87	1.86	1.9	1.87	1.89	1.92	1.89	1.93	1.97	1.91	1.96	1.9	1.91	1.9	1.9	1.95	1.88	1.9	1.95	1.91	1.94	1.95	1.94	1.93	1.95	1.9	1.94	1.93	1.93	1.94	1.88
